Factories_name;Parent_companies_name;Country_parent;Address_1_factory;Address_2_factory;Address_3_factory;City_factory;Zip_Code_factory;Province_State_factory;countrycode;country_parent_num;factory_parent_different;Product_Categories_grp;b1_Adidas;b2_ASICS;b3_ASOS;b4_CandA;b5_Debenhams;b6_Esprit;b7_GAP;b8_G_STAR;b9_HandM;b10_MandS;b11_NIKE;b12_Pentland;b13_Primark;b14_PUMA;b15_Under_Armour;b16_VF_Corp;b17_Amer_Sports;b18_Bestseller;b19_KappAhl;b20_New_Balance;b21_Levi_Strauss;b22_PVH;b23_Tesco;b24_UNIQLO;TOTAL_BRANDS;employees_p_factory;nonmbrs;b1_Adidas_DICH;b2_ASICS_DICH;b3_ASOS_DICH;b4_CandA_DICH;b5_Debenhams_DICH;b6_Esprit_DICH;b7_GAP_DICH;b8_G_STAR_DICH;b9_HandM_DICH;b10_MandS_DICH;b11_NIKE_DICH;b12_Pentland_DICH;b13_Primark_DICH;b14_PUMA_DICH;b15_Under_Armour_DICH;b16_VF_Corp_DICH;b17_Amer_Sports_DICH;b18_Bestseller_DICH;b19_KappAhl_DICH;b20_New_Balance_DICH;b21_Levi_Strauss_DICH;b22_PVH_DICH;b23_Tesco_DICH;b24_UNIQLO_DICH;employees_p_factory_gt1000;ownership_grp;TOTAL_BRANDS16;TOTAL_BRANDS16_dich;femployees_p_factory;EPZ;Country
Industrias Manufactureras MYR, S.A. De C.V.;Industrias Manufactureras MYR SA de C.V.;MX;Blvd. Paseo Solidaridad No. 12325;Col. CFE;;irapuato;36667;guanajuato;Mexico;Mexico;no;footwear;500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;500;500.0;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no;2500;500.0;500.0;-9;no;Mexico
Industrias Manufactureras MYR, S.A. de C.V. - Sewing plant;Industrias Manufactureras MYR SA de C.V.;MX;Carretera Irapuato-Abasolo Km 5;Col. La Garrida;;irapuato;36590;guanajuato;Mexico;Mexico;yes;footwear;2500;0;0;0;0;0;0;0;0;0;0;0;0;2500;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2500;2500.0;;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;yes;2500;2500.0;500.0;-9;no;Mexico
VERTICAL KNITS, SA DE CV;Vertical Knits;MX;CALLE 20 #131 C X 27 Y 29;;Parque Industrial Toluca 2000;baca;97450;yucatan;Mexico;Mexico;yes;footwear;2500;0;0;0;0;0;0;0;0;0;2500;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2500;2500.0;;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;yes;2500;2500.0;500.0;58;yes;Mexico
VERTICAL KNITS, SA DE CV (MDC Tizimin);Vertical Knits;MX;TABLAJE CATASTRAL 2269 TIZIMIN;;;tizimin;97702;yucatan;Mexico;Mexico;yes;footwear;0;0;0;0;0;0;0;0;0;0;500;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;500;500.0;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;no;2500;500.0;500.0;46;no;Mexico
Forta Lab, S.A. de C.V.;Forta Lab SA de C.V.;MX;Av. Central 206;Manzana 2;Santiago Tiangusitenco;toluca de lerdo;50233;edomex;Mexico;Mexico;no;accessories;500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;500;500.0;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no;2500;500.0;500.0;-9;no;Mexico
Laboratorios Aerosol, S.A. de C.V.;Tecnosol SA de C.V.;MX;Calle Transformaci¢n, Parque Industrial PYME Capulhuac,;Localidad Agua Blanca, Km 9.5 Carretera Ocoyoacac;;municipio de capulhuac;52700;edomex;Mexico;Mexico;yes;accessories;500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;500;500.0;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no;2500;500.0;500.0;-9;yes;Mexico
Tecnosol S.A. de C.V.;Tecnosol SA de C.V.;MX;Alce Blanco 49;Fraccionamiento Industrial Alce Blanco;Shwe Pyi Thar Township;naucalpan;53370;naucalpan ;Mexico;Mexico;no;accessories;500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;500;500.0;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no;2500;500.0;500.0;-9;no;Mexico
Tex Ray Mexico SA DE C.V.;Tex-Ray Industrial Co Ltd;TW;Benito Juarez S/N Col La Prima Vera Navolato Sinaloa,;;;culiacán rosale;80370;sinaloa;Mexico;Taiwan;yes;footwear;0;500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;500;500.0;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no;7500;500.0;500.0;-9;no;Mexico
CMT De La Laguna SA DE C.V.;C.M.T. De La Laguna SA de C.V.;MX;Calzada Technologico #1055;;Lerdo;durango;35150;durango;Mexico;Mexico;yes;footwear;0;0;0;0;0;0;2500;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;500;2500.0;;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;yes;2500;500.0;500.0;-9;no;Mexico
Rintex S.A. de C.V.;Rintex SA de C.V.;MX;San Gaspar No. 10, Col. Miguel Hidalgo;;;jiutepec;62550;morelos;Mexico;Mexico;no;footwear;0;0;0;0;0;0;500;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;500;500.0;;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no;2500;500.0;500.0;-9;no;Mexico
Alejandro Cruz Matus SA de CV;Alejandro Cruz Matus SA de CV;MX;Daniel Larios Cardenas # 647, Col. Rancho Nuevo;;;guadalajara;44240;jalisco;Mexico;Mexico;no;footwear;0;0;0;500;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;500;500.0;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no;500;500.0;500.0;-9;no;Mexico
Alfe Confecciones S.A. de C.V.;Alfe Confecciones SA de C.V.;MX;Calzada Del Conde 5 Parque Industrial 5 De Mayo Puebla;;;puebla de zaragoza;72019;puebla;Mexico;Mexico;no;footwear;0;0;0;500;0;0;0;0;0;0;0;0;0;0;0;500;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2500;500.0;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;no;2500;2500.0;500.0;-9;yes;Mexico
