Factories_name;Parent_companies_name;Country_parent;Address_1_factory;Address_2_factory;Address_3_factory;City_factory;Zip_Code_factory;Province_State_factory;countrycode;country_parent_num;factory_parent_different;Product_Categories_grp;b1_Adidas;b2_ASICS;b3_ASOS;b4_CandA;b5_Debenhams;b6_Esprit;b7_GAP;b8_G_STAR;b9_HandM;b10_MandS;b11_NIKE;b12_Pentland;b13_Primark;b14_PUMA;b15_Under_Armour;b16_VF_Corp;b17_Amer_Sports;b18_Bestseller;b19_KappAhl;b20_New_Balance;b21_Levi_Strauss;b22_PVH;b23_Tesco;b24_UNIQLO;TOTAL_BRANDS;employees_p_factory;nonmbrs;b1_Adidas_DICH;b2_ASICS_DICH;b3_ASOS_DICH;b4_CandA_DICH;b5_Debenhams_DICH;b6_Esprit_DICH;b7_GAP_DICH;b8_G_STAR_DICH;b9_HandM_DICH;b10_MandS_DICH;b11_NIKE_DICH;b12_Pentland_DICH;b13_Primark_DICH;b14_PUMA_DICH;b15_Under_Armour_DICH;b16_VF_Corp_DICH;b17_Amer_Sports_DICH;b18_Bestseller_DICH;b19_KappAhl_DICH;b20_New_Balance_DICH;b21_Levi_Strauss_DICH;b22_PVH_DICH;b23_Tesco_DICH;b24_UNIQLO_DICH;employees_p_factory_gt1000;ownership_grp;TOTAL_BRANDS16;TOTAL_BRANDS16_dich;femployees_p_factory;EPZ;Country
Comfit Composite Knit Ltd Unit 1;Comfit Composite Knit Ltd;BD;Gorai, Mirzapur;;;Mirzapur;1941;Dhaka;50;50;1;2;-9;-9;-9;3;-9;-9;-9;-9;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;2;3;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;1;-9;0;Bangladesh
Comfit Composite Knit Ltd Unit 2;Comfit Composite Knit Ltd;BD;Dewan Iddris Road Kathgora,;;;Dhaka;1349;Dhaka;50;50;1;2;-9;-9;-9;1;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;-9;0;Bangladesh
Comfit Composite Knit Ltd Unit 3;Comfit Composite Knit Ltd;BD;Vannara Road;;;Gazipur;1751;Dhaka;50;50;1;2;-9;-9;-9;1;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;-9;0;Bangladesh
Cotton Clothing (BD) Ltd;Cotton Clothing (BD) Ltd;BD;Kazi Tower Sataish Road;;;Gazipur;1712;Dhaka;50;50;0;2;-9;-9;-9;1;-9;-9;-9;-9;3;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;2;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;-9;0;Bangladesh
Cotton Club BD Ltd;Cotton Club (BD) Ltd;BD;Jorun South Kashimpur;;;Gazipur;1700;Dhaka;50;50;1;2;-9;-9;-9;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;2;-9;-9;-9;-9;-9;-9;-9;-9;2;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2;2;1;-9;0;Bangladesh
Crescent Fashion and Design Limited;Beximco Group Ltd;BD;Beximco Industrial Park Sarabo;;;Gazipur;1346;Dhaka;50;50;1;2;-9;-9;-9;2;-9;-9;-9;-9;-9;-9;-9;-9;2;-9;-9;-9;-9;-9;-9;-9;-9;0;-9;-9;3;2;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;2;2;1;54;1;Bangladesh
D & S Pretty Fashions;D & S Pretty Fashions;BD;Pretty Square South Salna;;;Gazipur;1740;Dhaka;50;50;0;2;-9;-9;-9;2;-9;-9;-9;-9;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;2;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;-9;0;Bangladesh
Dazzling Dresses Ltd;Epyllion Group;BD;Ismail Plaza Shah Kabir Mazar Road;;;Dhaka;1230;Dhaka;50;50;1;2;-9;-9;-9;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;-9;0;Bangladesh
Debonair Ltd;Orbitex Knitwear Ltd (Debonair Group);BD;Gorat;;;Dhaka;1341;Dhaka;50;50;1;2;-9;-9;-9;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;-9;0;Bangladesh
Debonair Ltd Unit 2;Orbitex Knitwear Ltd (Debonair Group);BD;PLOT # 356, SHORIFPUR, OZARPARA, NATIONAL UNIVERSITY, JOYDEBPUR;;;Gazipur;1704;Dhaka;50;50;1;2;-9;-9;-9;-9;-9;-9;-9;-9;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;-9;1;Bangladesh
Dekko Knitwears Ltd;Dekko Designs Ltd;IN;Plot I 5 I 7 I 9 I 11 I 13,;;;Dhaka;1216;Dhaka;50;356;1;2;-9;-9;-9;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;1;-9;1;Bangladesh
Designtex Sweaters Ltd;Designtex Sweaters Ltd;BD;Plot No. 255, Konabari;;;Gazipur;1346;Dhaka;50;50;0;2;-9;-9;-9;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;-9;1;Bangladesh
Dipta Garments Ltd;DIRD Group;BD;Nagarchar Rajfulbaria;;;Dhaka;1347;Dhaka;50;50;1;2;-9;-9;-9;1;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;0;-9;2;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;1;-9;0;Bangladesh
Dird Washing Plant Ltd;DIRD Group;BD;Nagarchar Rajfulbaria;;;Dhaka;1347;Dhaka;50;50;1;2;-9;-9;-9;1;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;0;-9;2;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;1;-9;0;Bangladesh
Divine Design Ltd Alamode Apparels Ltd;Four H Fashions Ltd;BD;12/13 BSCIC INDUSTRIAL AREA, Kalurghat Chandgaon;;;Chittagong;3343;Chittagong;50;50;1;2;-9;-9;-9;2;-9;-9;-9;-9;2;-9;-9;-9;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;3;2;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;2;3;1;65;1;Bangladesh
Divine Intimates Ltd;Four H Fashions Ltd;BD;Khowaznagar Azimpara Karnafuli ;;;Chittagong;4224;Chittagong;50;50;1;2;-9;-9;-9;1;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;-9;0;Bangladesh
Epic Garments Manufacturing Co Ltd;Epic Designers Ltd;HK;Sfb#08 Dhaka Export Processing Zone (Extension Area) Ganakbari Savar;;;Narayanganj;1431;Dhaka;50;344;1;2;-9;-9;-9;3;-9;-9;-9;-9;2;-9;-9;-9;-9;-9;-9;2;-9;-9;-9;-9;-9;-9;0;-9;4;3;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;3;3;1;-9;1;Bangladesh
